Region,Department,Commune_Code_INSEE,City,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro,Source_File,Year
ILE-DE-FRANCE,HAUTS-DE-SEINE,92022,CHAVILLE,143.0,1965197.0,6836.0,ificom-2022.xlsx,2022
ILE-DE-FRANCE,HAUTS-DE-SEINE,92023,CLAMART,251.0,2007314.0,7012.0,ificom-2019.xls,2019
ILE-DE-FRANCE,HAUTS-DE-SEINE,92023,CLAMART,261.0,2049135.0000000002,7312.0,ificom-2020.xlsx,2020
ILE-DE-FRANCE,HAUTS-DE-SEINE,92023,CLAMART,294.0,2069916.0,7547.0,ificom-2021.xlsx,2021
ILE-DE-FRANCE,HAUTS-DE-SEINE,92023,CLAMART,333.0,2081259.0,7541.0,ificom-2022.xlsx,2022
AUVERGNE-RHONE-ALPES,PUY-DE-DOME,63113,CLERMONT-FERRAND,107.0,1936636.0,6514.0,ificom-2019.xls,2019
AUVERGNE-RHONE-ALPES,PUY-DE-DOME,63113,CLERMONT-FERRAND,114.0,1955280.0,6836.0,ificom-2020.xlsx,2020
AUVERGNE-RHONE-ALPES,PUY-DE-DOME,63113,CLERMONT-FERRAND,115.0,2001395.0,7452.0,ificom-2021.xlsx,2021
AUVERGNE-RHONE-ALPES,PUY-DE-DOME,63113,CLERMONT-FERRAND,127.0,2104046.0,8096.0,ificom-2022.xlsx,2022
ILE-DE-FRANCE,HAUTS-DE-SEINE,92024,CLICHY,52.0,2081637.0,8105.0,ificom-2019.xls,2019
ILE-DE-FRANCE,HAUTS-DE-SEINE,92024,CLICHY,59.0,2274025.0,9329.0,ificom-2021.xlsx,2021
ILE-DE-FRANCE,HAUTS-DE-SEINE,92024,CLICHY,62.0,2176911.0,9074.0,ificom-2022.xlsx,2022
GRAND-EST,HAUT-RHIN,68066,COLMAR,85.0,2539133.0,11673.0,ificom-2019.xls,2019
GRAND-EST,HAUT-RHIN,68066,COLMAR,90.0,2502878.0,11356.0,ificom-2020.xlsx,2020
GRAND-EST,HAUT-RHIN,68066,COLMAR,91.0,2400864.0,11252.0,ificom-2021.xlsx,2021
GRAND-EST,HAUT-RHIN,68066,COLMAR,94.0,2376246.0,11295.0,ificom-2022.xlsx,2022
ILE-DE-FRANCE,HAUTS-DE-SEINE,92025,COLOMBES,182.0,2025123.0,7339.0,ificom-2019.xls,2019
ILE-DE-FRANCE,HAUTS-DE-SEINE,92025,COLOMBES,192.0,2046990.9999999998,7268.0,ificom-2020.xlsx,2020
ILE-DE-FRANCE,HAUTS-DE-SEINE,92025,COLOMBES,229.0,2045460.0,7322.0,ificom-2021.xlsx,2021
ILE-DE-FRANCE,HAUTS-DE-SEINE,92025,COLOMBES,242.0,2126991.0,8046.0,ificom-2022.xlsx,2022
LES-HAUTS-DE-FRANCE,OISE,60159,COMPIEGNE,101.0,2672753.0,11081.0,ificom-2019.xls,2019
LES-HAUTS-DE-FRANCE,OISE,60159,COMPIEGNE,100.0,2791353.0,15025.0,ificom-2020.xlsx,2020
LES-HAUTS-DE-FRANCE,OISE,60159,COMPIEGNE,104.0,2808925.0,12020.0,ificom-2021.xlsx,2021
LES-HAUTS-DE-FRANCE,OISE,60159,COMPIEGNE,114.0,2728272.0,13032.0,ificom-2022.xlsx,2022
ILE-DE-FRANCE,HAUTS-DE-SEINE,92026,COURBEVOIE,349.0,2027190.0,7359.0,ificom-2019.xls,2019
ILE-DE-FRANCE,HAUTS-DE-SEINE,92026,COURBEVOIE,377.0,2043659.0,7496.0,ificom-2020.xlsx,2020
ILE-DE-FRANCE,HAUTS-DE-SEINE,92026,COURBEVOIE,418.0,2076787.0,7699.0,ificom-2021.xlsx,2021
ILE-DE-FRANCE,HAUTS-DE-SEINE,92026,COURBEVOIE,453.0,2073787.0,7595.0,ificom-2022.xlsx,2022
ILE-DE-FRANCE,VAL-DE-MARNE,94028,CRETEIL,77.0,2003732.0,7380.0,ificom-2019.xls,2019
ILE-DE-FRANCE,VAL-DE-MARNE,94028,CRETEIL,78.0,1986890.0,7120.0,ificom-2020.xlsx,2020
ILE-DE-FRANCE,VAL-DE-MARNE,94028,CRETEIL,73.0,2051952.0,7768.0,ificom-2021.xlsx,2021
