,Commune_Code_INSEE,Year,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro
497,93045,2020,0.0,0.09770295031735399,0.08620449802921398
389,93045,2021,0.0021413276231263406,0.05382114810736971,0.06162763737537674
27,93045,2022,0.007494646680942185,0.32083902746208925,0.395409227915604
687,85194,2019,0.07922912205567453,0.15208290685000547,0.15552979364711333
576,85194,2020,0.08565310492505354,0.16810174638949904,0.1687920241131463
353,85194,2021,0.10706638115631692,0.178908729130819,0.170693252956179
160,85194,2022,0.15203426124197003,0.14385368574646196,0.1424530489218641
647,92044,2019,0.5802997858672377,0.235840292451459,0.20013911430558773
463,92044,2020,0.6231263383297645,0.24341765422182038,0.1851147693021099
375,92044,2021,0.6670235546038544,0.253800123631963,0.18659865522837932
57,92044,2022,0.7291220556745183,0.2515442678377334,0.18372362624623229
643,59350,2019,0.24839400428265526,0.2689578650399692,0.2060282865754695
531,59350,2020,0.2708779443254818,0.280215012984374,0.23927660561094366
282,59350,2021,0.29336188436830835,0.21315096026022073,0.14351959193137026
39,59350,2022,0.3372591006423983,0.28867258604568347,0.19800602828657543
640,87085,2019,0.08565310492505354,0.22764477086591162,0.20978437282633894
552,87085,2020,0.0942184154175589,0.2285018451743549,0.2103872014838859
355,87085,2021,0.09314775160599573,0.2718273538484598,0.26779503825643397
63,87085,2022,0.1049250535331906,0.24244640393449413,0.23565963366566195
731,94046,2019,0.06316916488222699,0.12522036718391238,0.11388824484117782
507,94046,2020,0.07173447537473235,0.14096105995546637,0.1259911894273128
399,94046,2021,0.08029978586723771,0.15786966736563823,0.13846510549501506
135,94046,2022,0.0910064239828694,0.16606569192906606,0.1469974495710642
766,78358,2019,0.19271948608137046,0.1033609484955681,0.07799675399953626
519,78358,2020,0.20235546038543897,0.15565354682397137,0.12195687456526771
336,78358,2021,0.22055674518201288,0.1526970428421469,0.12691861813123112
152,78358,2022,0.26766595289079226,0.15033204084783958,0.11871087410155345
675,92046,2019,0.01177730192719486,0.25348022969993844,0.16679805239972173
464,92046,2020,0.017130620985010704,0.21657120984790457,0.15386042198006028
376,92046,2021,0.03104925053533191,0.25041910631896147,0.17941108277301182
54,92046,2022,0.03961456102783726,0.25490265114611066,0.18836076976582422
616,06079,2019,0.08137044967880086,0.28306941245644845,0.3130071875724553
582,06079,2020,0.069593147751606,0.33239293235601386,0.3730581961511709
216,06079,2021,0.07280513918629553,0.3982206654497956,0.4496638070948296
15,06079,2022,0.08993576017130622,0.37756286091806557,0.421840945977278
680,59378,2019,0.18843683083511778,0.2581574210110963,0.1607233943890563
533,59378,2020,0.18950749464668096,0.27937956672479414,0.14416879202411315
284,59378,2021,0.21092077087794434,0.26580872052989724,0.11940644562949221
58,59378,2022,0.25374732334047106,0.24453979787330893,0.14695107813586827
496,77284,2020,0.0021413276231263406,0.13441077901717124,0.1008115001159286
332,77284,2021,0.008565310492505356,0.12447445098706889,0.09255738465105495
153,77284,2022,0.010706638115631696,0.14821048014771454,0.1140273591467656
790,06083,2019,0.0417558886509636,0.0,0.015766287966612558
583,06083,2020,0.03747323340471092,0.0064366079372927265,0.03603060514722928
217,06083,2021,0.049250535331905786,0.09836034240722202,0.0703918386274055
176,06083,2022,0.044967880085653104,0.1273363951273515,0.13364247623463943
659,33281,2019,0.10064239828693791,0.15743962127777522,0.18386274055182006
547,33281,2020,0.1081370449678801,0.15427136360824256,0.16086250869464408
250,33281,2021,0.12205567451820129,0.21369367339332512,0.1981451425921632
113,33281,2022,0.13490364025695933,0.18676021384607566,0.18965916995131
701,57463,2019,0.08565310492505354,0.1555333351105218,0.14134013447716204
444,57463,2020,0.08351177730192721,0.17233279632061616,0.1533967076281011
276,57463,2021,0.08565310492505354,0.22908278462638043,0.20978437282633894
79,57463,2022,0.08886509635974305,0.2252048251674036,0.18168328309761184
746,92048,2019,0.33083511777301927,0.1366575812095513,0.09543241363320193
465,92048,2020,0.3511777301927195,0.14342464561435986,0.10410387201483884
377,92048,2021,0.38650963597430404,0.1373572234413848,0.09009969858567118
